Cell	SIRI_ID	FI_in_Chromosome	FI_in_Nucleus	FI_in_Cytoplasm
ESC	Chr14_56431650_56434320_+	0.00854700854701	0.0	0.0
ESC	Chr9_27044681_27045050_+	0.0	0.0	0.0
ESC	Chr16_13566739_13603027_-	0.0394736842105	0.00737100737101	0.0159744408946
ESC	Chr17_35060703_35060832_+	0.256461232604	0.0259515570934	0.00771456123433
ESC	Chr19_6954468_6954704_-	0.495268138801	0.0363951473137	0.0
ESC	Chr11_120818176_120818432_-	0.0329457364341	0.000870322019147	0.000627352572146
ESC	Chr1_165217846_165220098_-	0.0243902439024	0.00568181818182	0.0
ESC	Chr8_79701892_79703003_-	0.0176056338028	0.000669792364367	0.0
ESC	Chr8_79655793_79658908_+	0.0836653386454	0.0252100840336	0.0
ESC	Chr2_127233093_127233179_+	0.0123456790123	0.0019120458891	0.00106382978723
ESC	Chr15_8035885_8042710_-	0.016393442623	0.0	0.0
ESC	Chr11_85055874_85059127_-	0.0	0.0	0.0
ESC	Chr15_55049550_55052115_-	0.00943396226415	0.00429184549356	0.0
ESC	Chr10_24908008_24908632_+	0.041825095057	0.00529100529101	0.0
ESC	Chr5_127664709_127677204_+	0.0143884892086	0.00313479623824	0.0
ESC	Chr10_63275089_63278334_+	0.0129032258065	0.0	0.00204498977505
ESC	Chr16_32375318_32375896_+	0.0452261306533	0.00436681222707	0.0
ESC	Chr11_98454282_98454397_+	0.143835616438	0.00810810810811	0.00117096018735
ESC	Chr17_25230410_25230520_+	0.397769516729	0.112426035503	0.00444444444444
ESC	Chr11_97703973_97706797_+	0.00692041522491	0.000511683438513	0.000270197243988
ESC	Chr17_35961230_35961700_-	0.0614035087719	0.00269541778976	0.000574382538771
ESC	Chr11_115615592_115616520_-	0.036496350365	0.00859598853868	0.0
ESC	ChrX_38123120_38129741_+	0.0175438596491	0.0	0.0
ESC	Chr10_89715009_89717072_-	0.0291262135922	0.00502512562814	0.0
ESC	Chr16_35102125_35106314_+	0.0396475770925	0.000559597090095	0.0
ESC	Chr16_11199487_11199570_-	0.0405539070227	0.00392541707556	0.000971188086759
ESC	Chr11_78288068_78288164_+	0.00350877192982	0.000645161290323	0.0
ESC	ChrX_160582997_160584463_+	0.00303951367781	0.0	0.0
ESC	Chr6_83054833_83054910_+	0.0448625180897	0.0193548387097	0.0379746835443
ESC	Chr10_83591789_83594170_+	0.00487804878049	0.00210526315789	0.0
ESC	Chr18_80080048_80116968_+	0.0243902439024	0.010752688172	0.0
ESC	Chr3_100188034_100190885_+	0.0	0.0	0.0
ESC	Chr8_72168488_72171239_+	0.109919571046	0.00810081008101	0.0
ESC	ChrX_151284557_151285778_+	0.0322580645161	0.0	0.0
ESC	Chr2_181621964_181622161_+	0.0	0.0	0.0
ESC	Chr5_52761008_52762431_+	0.0100334448161	0.0	0.00218818380744
ESC	Chr11_120610965_120611112_-	0.030612244898	0.0128755364807	0.00367197062424
ESC	Chr17_87689142_87696494_+	0.0117647058824	0.00507614213198	0.000889679715302
ESC	Chr7_19639018_19643051_-	0.0210772833724	0.00104166666667	0.0
ESC	Chr2_155713480_155716009_-	0.0661157024793	0.00496277915633	0.0143540669856
ESC	Chr17_56047635_56056420_+	0.0136452241715	0.004329004329	0.00169779286927
ESC	Chr9_67954667_67954931_+	0.0	0.0	0.0
ESC	Chr4_130763022_130764064_+	0.0296610169492	0.00864553314121	0.00134228187919
ESC	Chr7_89165167_89196112_-	0.0	0.00892857142857	0.0
ESC	Chr11_76966891_76966993_+	0.0461538461538	0.000827129859388	0.000371057513915
ESC	Chr4_111784844_111799069_+	0.0	0.0	0.0
ESC	Chr13_12440995_12447146_-	0.0869565217391	0.0	0.0
ESC	Chr16_8708948_8710038_-	0.00524934383202	0.0	0.00157728706625
ESC	ChrX_166435536_166440028_-	0.0185185185185	0.0	0.0
ESC	Chr6_100232966_100233062_-	0.0199637023593	0.0046511627907	0.0
ESC	Chr18_43473354_43473528_+	0.194968553459	0.0	0.0
ESC	Chr6_113294794_113295025_+	0.36	0.00952380952381	0.00709219858156
ESC	Chr12_111671348_111671424_-	0.380239520958	0.0448585231194	0.00138408304498
ESC	Chr5_138260395_138260513_-	0.215139442231	0.0676691729323	0.0375
ESC	Chr5_93165382_93167499_+	0.0646766169154	0.0079295154185	0.0
ESC	Chr6_125106737_125107467_+	0.0193192272309	0.0	0.000486144871172
ESC	Chr15_35923364_35925303_+	0.010101010101	0.0	0.0
ESC	Chr1_74696616_74696741_+	0.087323943662	0.0290697674419	0.015873015873
ESC	Chr8_3531762_3532002_+	0.23631840796	0.0112528132033	0.0162162162162
ESC	Chr15_99703634_99703737_+	0.0564784053156	0.0104947526237	0.0
ESC	Chr5_121375873_121377737_-	0.025641025641	0.0	0.0
ESC	Chr11_120077442_120081243_-	0.0318021201413	0.00990099009901	0.00277008310249
ESC	Chr17_30748746_30751446_+	0.0	0.0	0.0
ESC	Chr4_139471852_139472471_+	0.00403768506057	0.0	0.0
ESC	Chr1_163817932_163825687_+	0.015873015873	0.0059880239521	0.0
ESC	Chr16_94416367_94418606_+	0.0229007633588	0.0	0.0
ESC	Chr2_93198588_93198894_+	0.0535714285714	0.00414937759336	0.0
ESC	Chr3_87948911_87952114_+	0.222222222222	0.0172413793103	0.00680272108844
ESC	Chr17_46208258_46214189_+	0.05	0.0602409638554	0.0202140309156
ESC	Chr2_132294481_132295530_+	0.0147492625369	0.00214132762313	0.0
ESC	Chr4_116604815_116604908_-	0.042246264812	0.0104246122553	0.0013200075429
ESC	Chr11_62273815_62276617_-	0.292682926829	0.0359116022099	0.00341296928328
ESC	Chr18_35656845_35656948_-	0.25	0.0434782608696	0.025
ESC	Chr18_46283796_46285612_-	0.155555555556	0.00502512562814	0.0
ESC	Chr15_86239294_86292133_+	0.0	0.0	0.0
ESC	Chr11_79020814_79021386_-	0.0	0.0	0.00502512562814
ESC	Chr11_76730234_76734568_-	0.133757961783	0.0860927152318	0.00686498855835
ESC	Chr10_12671931_12678579_-	0.0	0.0	0.0
ESC	Chr13_55652158_55652912_+	0.00423728813559	0.0	0.0
ESC	Chr7_141247397_141248379_+	0.0180995475113	0.003861003861	0.0
ESC	Chr13_69630764_69631234_+	0.304659498208	0.0248011230697	0.0004662004662
ESC	Chr4_123355268_123360909_-	0.023197492163	0.0017825311943	0.0
ESC	Chr9_119449855_119452227_+	0.266666666667	0.0454545454545	0.0
ESC	Chr14_62348629_62350399_+	0.238532110092	0.0225563909774	0.0
ESC	Chr11_83296441_83297487_-	0.078431372549	0.0921052631579	0.0
ESC	Chr17_34932109_34932565_+	0.133640552995	0.00471698113208	0.0
